TokenStatus,TokenBlocked,CardStatus,121VisaCardStatus,121VisaCardStatusExplanation,121Actions
INACTIVE,FALSE,CARD_OK,Issued,,"Pause, Issue New Card"
INACTIVE,FALSE,CARD_BLOCKED,Blocked,Visa blocked card,Issue New Card
INACTIVE,FALSE,SUSPECTED_FRAUD,Suspected Fraud,Card temporarily blocked for investigation,"Pause, Issue New Card"
INACTIVE,FALSE,CARD_CLOSED_DUE_TO_FRAUD,Blocked,Visa closed card due to fraud,Issue New Card
INACTIVE,FALSE,CARD_NO_RENEWAL,Issued,,"Pause, Issue New Card"
INACTIVE,FALSE,CARD_LOST,Blocked,Visa marked card as lost,Issue New Card
INACTIVE,FALSE,CARD_STOLEN,Blocked,Visa marked card as stolen,Issue New Card
INACTIVE,FALSE,CARD_CLOSED,Blocked,Visa marked card as closed,Issue New Card
INACTIVE,FALSE,CARD_EXPIRED,Blocked,Card has expired,Issue New Card
INACTIVE,TRUE,CARD_OK,Paused,Card not yet activated,"Unpause, Issue New Card"
INACTIVE,TRUE,CARD_BLOCKED,Blocked,Visa blocked card,Issue New Card
INACTIVE,TRUE,SUSPECTED_FRAUD,Suspected Fraud,Card temporarily blocked for investigation,Issue New Card
INACTIVE,TRUE,CARD_CLOSED_DUE_TO_FRAUD,Blocked,Visa closed card due to fraud,Issue New Card
INACTIVE,TRUE,CARD_NO_RENEWAL,Paused,Card not yet activated,"Unpause, Issue New Card"
INACTIVE,TRUE,CARD_LOST,Blocked,Visa marked card as lost,Issue New Card
INACTIVE,TRUE,CARD_STOLEN,Blocked,Visa marked card as stolen,Issue New Card
INACTIVE,TRUE,CARD_CLOSED,Blocked,Visa marked card as closed,Issue New Card
INACTIVE,TRUE,CARD_EXPIRED,Blocked,Card has expired,Issue New Card
ACTIVE,FALSE,CARD_OK,Active,,"Pause, Issue New Card"
ACTIVE,FALSE,CARD_BLOCKED,Blocked,Visa blocked card,Issue New Card
ACTIVE,FALSE,SUSPECTED_FRAUD,Suspected Fraud,Card temporarily blocked for investigation,"Pause, Issue New Card"
ACTIVE,FALSE,CARD_CLOSED_DUE_TO_FRAUD,Blocked,Visa closed card due to fraud,Issue New Card
ACTIVE,FALSE,CARD_NO_RENEWAL,Active,,"Pause, Issue New Card"
ACTIVE,FALSE,CARD_LOST,Blocked,Visa marked card as lost,Issue New Card
ACTIVE,FALSE,CARD_STOLEN,Blocked,Visa marked card as stolen,Issue New Card
ACTIVE,FALSE,CARD_CLOSED,Blocked,Visa marked card as closed,Issue New Card
ACTIVE,FALSE,CARD_EXPIRED,Blocked,Card has expired,Issue New Card
ACTIVE,TRUE,CARD_OK,Paused,,"Unpause, Issue New Card"
ACTIVE,TRUE,CARD_BLOCKED,Blocked,Visa blocked card,Issue New Card
ACTIVE,TRUE,SUSPECTED_FRAUD,Suspected Fraud,Card temporarily blocked for investigation,Issue New Card
ACTIVE,TRUE,CARD_CLOSED_DUE_TO_FRAUD,Blocked,Visa closed card due to fraud,Issue New Card
ACTIVE,TRUE,CARD_NO_RENEWAL,Paused,,"Unpause, Issue New Card"
ACTIVE,TRUE,CARD_LOST,Blocked,Visa marked card as lost,Issue New Card
ACTIVE,TRUE,CARD_STOLEN,Blocked,Visa marked card as stolen,Issue New Card
ACTIVE,TRUE,CARD_CLOSED,Blocked,Visa marked card as closed,Issue New Card
ACTIVE,TRUE,CARD_EXPIRED,Blocked,Card has expired,Issue New Card
SUBSTITUTED,FALSE,CARD_OK,Substituted,Card has been substituted due to re-issue,
SUBSTITUTED,FALSE,CARD_BLOCKED,Substituted,Card has been substituted due to re-issue,
SUBSTITUTED,FALSE,SUSPECTED_FRAUD,Substituted,Card has been substituted due to re-issue,
SUBSTITUTED,FALSE,CARD_CLOSED_DUE_TO_FRAUD,Substituted,Card has been substituted due to re-issue,
SUBSTITUTED,FALSE,CARD_NO_RENEWAL,Substituted,Card has been substituted due to re-issue,
SUBSTITUTED,FALSE,CARD_LOST,Substituted,Card has been substituted due to re-issue,
SUBSTITUTED,FALSE,CARD_STOLEN,Substituted,Card has been substituted due to re-issue,
SUBSTITUTED,FALSE,CARD_CLOSED,Substituted,Card has been substituted due to re-issue,
SUBSTITUTED,FALSE,CARD_EXPIRED,Substituted,Card has been substituted due to re-issue,
