"TokenBlocked";"WalletStatus";"CardStatus";"IsCurrentWallet";"121Status"
FALSE;"ACTIVE";"CARD_OK";TRUE;"Active"
FALSE;"ACTIVE";"CARD_BLOCKED";TRUE;"Blocked "
FALSE;"ACTIVE";"SUSPECTED_FRAUD";TRUE;"Suspected Fraud"
FALSE;"ACTIVE";"CARD_CLOSED_DUE_TO_FRAUD";TRUE;"Closed"
FALSE;"ACTIVE";"CARD_NO_RENEWAL";TRUE;"Active"
FALSE;"ACTIVE";"CARD_LOST";TRUE;"Lost"
FALSE;"ACTIVE";"CARD_STOLEN";TRUE;"Stolen"
FALSE;"ACTIVE";"CARD_CLOSED";TRUE;"Closed"
FALSE;"ACTIVE";"CARD_EXPIRED";TRUE;"Expired"
FALSE;"INACTIVE";"CARD_OK";TRUE;"Issued"
FALSE;"INACTIVE";"CARD_BLOCKED";TRUE;"Blocked "
FALSE;"INACTIVE";"SUSPECTED_FRAUD";TRUE;"Suspected Fraud"
FALSE;"INACTIVE";"CARD_CLOSED_DUE_TO_FRAUD";TRUE;"Closed"
FALSE;"INACTIVE";"CARD_NO_RENEWAL";TRUE;"Issued"
FALSE;"INACTIVE";"CARD_LOST";TRUE;"Lost"
FALSE;"INACTIVE";"CARD_STOLEN";TRUE;"Stolen"
FALSE;"INACTIVE";"CARD_CLOSED";TRUE;"Closed"
FALSE;"INACTIVE";"CARD_EXPIRED";TRUE;"Expired"
FALSE;"SUBSTITUTED";"CARD_OK";TRUE;"Blocked "
FALSE;"SUBSTITUTED";"CARD_BLOCKED";TRUE;"Blocked "
FALSE;"SUBSTITUTED";"SUSPECTED_FRAUD";TRUE;"Blocked "
FALSE;"SUBSTITUTED";"CARD_CLOSED_DUE_TO_FRAUD";TRUE;"Closed"
FALSE;"SUBSTITUTED";"CARD_NO_RENEWAL";TRUE;"Blocked "
FALSE;"SUBSTITUTED";"CARD_LOST";TRUE;"Lost"
FALSE;"SUBSTITUTED";"CARD_STOLEN";TRUE;"Stolen"
FALSE;"SUBSTITUTED";"CARD_CLOSED";TRUE;"Closed"
FALSE;"SUBSTITUTED";"CARD_EXPIRED";TRUE;"Blocked "
FALSE;"DISABLED";"CARD_OK";TRUE;"Blocked "
FALSE;"DISABLED";"CARD_BLOCKED";TRUE;"Blocked "
FALSE;"DISABLED";"SUSPECTED_FRAUD";TRUE;"Blocked "
FALSE;"DISABLED";"CARD_CLOSED_DUE_TO_FRAUD";TRUE;"Closed"
FALSE;"DISABLED";"CARD_NO_RENEWAL";TRUE;"Blocked "
FALSE;"DISABLED";"CARD_LOST";TRUE;"Lost"
FALSE;"DISABLED";"CARD_STOLEN";TRUE;"Stolen"
FALSE;"DISABLED";"CARD_CLOSED";TRUE;"Closed"
FALSE;"DISABLED";"CARD_EXPIRED";TRUE;"Blocked "
TRUE;"ACTIVE";"CARD_OK";TRUE;"Paused"
TRUE;"ACTIVE";"CARD_BLOCKED";TRUE;"Blocked "
TRUE;"ACTIVE";"SUSPECTED_FRAUD";TRUE;"Suspected Fraud"
